"exercise","weight_delta"
60.02,-1.7500270065896
149.96,-1.0827895257834
206.57,-1.44775509409727
260.01,-0.0716442432823708
176.56,-0.107543413588401
197.57,-1.07682933584446
0,-2.07245777522921
0,0
0,-0.124039401394893
0,0.414170927684435
30,0
0,-0.800012698614264
30,0
45,0
9,0.992391146933277
0,-0.0468365713153931
74.56,0
0,-0.274729600903164
0,0.703871292106812
463,0.349475786320302
705,-0.248756218905701
470,0
290,-15.7270029673591
239.9,0
99.05,-1.74218704390495
59.94,-2.48223013731186
120,-0.00154320987655354
60,37.5890911189268
0,-1.64889589749974
0,-0.517042362238313
0,-3.59041367351993
30,-0.710751713611812
30,-0.197226344002273
20,-0.640764922575353
175.03,-0.611047141628671
155,-0.409902719633755
0,-2.09793444109042
0,-3.57148481174117
0,2.22911733485751
0,1.76923076923076
10.67,0
25,2.50682100041339
20,0.00107542492728159
50,1.82820271541874
40,-2.45511551155116
350,1.28914166618736
40.02,0
0,-0.359717935460126
0,0.0992889988018418
0,0.483244446615056
40.88,-0.0365464640287598
0,-0.793205629513646
0,0.779029081281911
0,-0.528956263232522
0,-1.22687852671785
0,-1.24225473616465
0,-3.159218729513
0,-0.539180445722496
0,-1.09625346343815
0,0.969828672209624
30,-0.962072917167029
0,-1.43999496086799
0,-1.05131033530729
0,-0.683604346545546
0,-1.16023273156077
0,-0.736218170429617
0,-1.34296666998069
0,-0.650188301985701
0,1.10433945217188
30,0.818134154680892
85,-0.667250456976622
91.08,-0.244013915998549
0,-0.808604775345186
45,-0.5278162511542
53.09,-3.47835200578244
55,0.203912453187366
0,-4.16771185901738
7,-0.334429357155526
0,-3.06987052373731
300.01,-2.15612371868465
50,3.20786161008038
0,-2.70274457276257
0,-1.55556399299276
30.02,2.70883038561392
0,0
239,-1.16431435271741
233,0.929959201525335
0,-0.122825002132859
209,-1.03321573551065
183,-0.149139304823967
227,-0.983284236580951
152,-0.854648916375006
184,-0.0526380222793604
163,0.321978755734668
165,0.173139013953909
146,-0.449866133129404
213,0.399292280988866
144.5,-0.890336318057946
134,0.351134961079611
201,0.556624518966457
156,-0.39538811492614
182,0.204109636719153
112,3.18725823329308
116,-2.00946269043078
60,0.567653392707247
555,-0.794918214377488
240,-0.298725007774355
320,3.67135469124883
375,-0.183489096132151
270,-1.56252437898308
15,3.26802565428958
0,-3.4810660869541
0,0.983622198866902
0,-0.649360874862042
90,0
35,-0.653605130857905
60,1.84213465301155
105,1.58271213273067
180,-1.11289474606569
70,-1.28619369180973
75,-0.977214135422581
0,1.31581046643683
0,0
0,0
150,0.974041312293053
40,1.60774211476216
0,1.89876332015677
60,-1.24225473616465
160,0
0,-0.943410615171926
60,-0.317465205505543
21,0
50,-1.0344984871752
220.04,-1.04531222634298
285,0
0,1.58161667269002
60,-1.7751405608678
20,-0.136883263176255
80,0.319892527556161
135,-0.0728713647675601
0,-0.218853919431063
45,-1.37055510342198
0,0.500236515549977
30,-1.22503287692427
0,0
0,-0.292623122711358
0,-5.55563872017812
0,-0.653605130857905
0,-0.657905233218422
0,-0.60061014363799
60,-1.86918776250684
0,0.877097151775262
225,-0.877206553521977
